Sample_Name,Population,Latitude,Longitude,NCBI ID,Run,read1,read2
CentralRussia1,Ural,55.5,80.5,SAMN32301329,SRR22801882,SAMN32301329_1.fastq,SAMN32301329_2.fastq
CentralRussia2,CentreRus2,55.5,91.4,SAMN32301330,SRR22801881,SAMN32301330_1.fastq,SAMN32301330_2.fastq
